,Unnamed: 0,contributor,city,climate_zone,building_type,thermal_sensation,country,latitude,longitude,koppen,ta,rh,clothing_insulation,year,vel,mean_radiant_temperature,coolingsys,season,pmv_ce,metabolic_rate,ppd_ce,to,age
0,0,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,2.0,china,38.9152032,121.5591728,Dwa,30.0,53.0,0.35,2018.0,0.01,30.0,Convection cooling,Summer Season,1.59,1.2,55.97,30.0,18-30
30,30,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,30.2,54.0,0.4,2018.0,0.6,30.2,Convection cooling,Summer Season,1.25,1.2,37.91,30.2,18-30
60,60,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,30.1,64.0,0.4,2018.0,1.21,30.1,Convection cooling,Summer Season,1.11,1.2,31.22,30.1,18-30
90,90,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,28.3,56.0,0.4,2018.0,1.97,28.3,Convection cooling,Summer Season,-0.07,1.2,5.09,28.3,18-30
120,120,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,28.0,47.0,0.4,2018.0,0.35,28.0,Convection cooling,Summer Season,0.45,1.2,9.27,28.0,18-30
150,150,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,27.7,51.0,0.4,2018.0,1.21,27.7,Convection cooling,Summer Season,-0.19,1.2,5.72,27.7,18-30
180,180,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,28.3,60.0,0.4,2018.0,1.97,28.3,Convection cooling,Summer Season,-0.03,1.2,5.02,28.3,18-30
210,210,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.5,53.0,0.35,2018.0,0.35,27.5,Convection cooling,Summer Season,0.18,1.2,5.66,27.5,18-30
240,240,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.9,57.0,0.34,2018.0,0.6,27.9,Convection cooling,Summer Season,0.1,1.2,5.22,27.9,18-30
270,270,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.7,51.0,0.4,2018.0,1.21,27.7,Convection cooling,Summer Season,-0.18,1.2,5.69,27.7,18-30
300,300,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.4,53.0,0.35,2018.0,0.01,27.4,Convection cooling,Summer Season,0.68,1.2,14.78,27.4,18-30
330,330,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,26.3,59.0,0.39,2018.0,0.6,26.3,Convection cooling,Summer Season,-0.44,1.2,9.08,26.3,18-30
360,360,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,26.4,48.0,0.35,2018.0,1.21,26.4,Convection cooling,Summer Season,-1.07,1.2,29.28,26.4,18-30
390,390,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,26.2,49.0,0.4,2018.0,1.97,26.2,Convection cooling,Summer Season,-1.23,1.2,36.8,26.2,18-30
420,420,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,25.8,54.0,0.35,2018.0,0.6,25.8,Convection cooling,Summer Season,-0.85,1.2,20.36,25.8,18-30
450,450,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,25.9,61.0,0.4,2018.0,1.21,25.9,Convection cooling,Summer Season,-0.98,1.2,25.46,25.9,18-30
480,480,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,26.1,62.0,0.35,2018.0,1.97,26.1,Convection cooling,Summer Season,-1.47,1.2,49.24,26.1,18-30
510,510,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,25.5,59.0,0.37,2018.0,0.01,25.5,Convection cooling,Summer Season,0.1,1.2,5.19,25.5,18-30
540,540,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,24.1,59.0,0.4,2018.0,0.6,24.1,Convection cooling,Summer Season,-1.36,1.2,43.45,24.1,18-30
570,570,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,24.1,54.0,0.35,2018.0,1.21,24.1,Convection cooling,Summer Season,-2.2,1.2,85.15,24.1,18-30
600,600,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-3.0,china,38.9152032,121.5591728,Dwa,24.0,69.0,0.4,2018.0,1.97,24.0,Convection cooling,Summer Season,-2.24,1.2,86.34,24.0,18-30
630,630,Dalian University of Technology ,"Liaoning Province, Benxi City",Cold zone,Residential,0.0,china,41.28680535,123.75455862707396,Dwa,19.9,17.0,0.93,2019.0,0.1,19.9,Radiant floor heating,Winter Season,-1.24,1.0,37.17,19.9,41-50
660,660,Dalian University of Technology ,"Sichuan Province, Zigong City",Hot summer and cold winter zone,Residential,-2.0,china,29.3145785,104.8082504,Cwa,10.5,63.0,1.6,2019.0,0.1,10.5,Naturally Ventilated,Winter Season,-1.88,1.0,71.32,10.5,41-50
690,690,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.0,53.0,0.77,2009.0,0.07,22.0,Naturally Ventilated,Transition Season,-1.29,0.9,40.19,22.0,54
720,720,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,20.0,56.0,0.5,2009.0,0.05,20.0,Naturally Ventilated,Transition Season,-3.02,0.9,99.23,20.0,53
750,750,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,24.2,37.0,0.47,2009.0,0.06,24.2,Naturally Ventilated,Transition Season,-1.43,0.9,47.11,24.2,44
780,780,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.5,38.0,0.47,2009.0,0.04,22.5,Naturally Ventilated,Transition Season,-2.17,0.9,84.0,22.5,46
810,810,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,20.2,50.0,0.47,2009.0,0.11,20.2,Naturally Ventilated,Transition Season,-3.12,0.9,99.53,20.2,27
840,840,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,17.9,45.0,0.87,2009.0,0.08,17.9,Naturally Ventilated,Transition Season,-2.49,0.9,93.33,17.9,38
870,870,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.1,55.0,0.8,2009.0,0.09,22.1,Naturally Ventilated,Transition Season,-1.17,0.9,33.74,22.1,47
900,900,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,20.5,54.0,0.47,2009.0,0.04,20.5,Naturally Ventilated,Transition Season,-2.19,1.0,84.7,20.5,20
930,930,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.7,38.0,0.47,2009.0,0.08,22.7,Naturally Ventilated,Transition Season,-2.08,0.9,80.49,22.7,44
960,960,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,16.1,64.0,1.12,2009.0,0.03,16.1,Naturally Ventilated,Transition Season,-1.56,1.0,54.3,16.1,40
990,990,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,18.0,46.0,0.55,2009.0,0.04,18.0,Naturally Ventilated,Transition Season,-3.71,0.9,99.99,18.0,43
1020,1020,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,19.0,52.0,1.07,2009.0,0.04,19.0,Naturally Ventilated,Transition Season,-1.56,0.9,54.58,19.0,43
1050,1050,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.7,53.0,0.47,2009.0,0.07,23.7,Radiator heating,Winter Season,-1.51,0.9,51.53,23.7,35
1080,1080,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.3,42.0,0.7,2009.0,0.08,23.3,Radiator heating,Winter Season,-0.56,1.0,11.52,23.3,60
1110,1110,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,24.2,27.0,0.72,2009.0,0.11,24.2,Radiator heating,Winter Season,-0.92,0.9,23.16,24.2,36
1140,1140,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,21.7,40.0,0.57,2010.0,0.08,21.7,Radiator heating,Winter Season,-2.13,0.9,82.42,21.7,53
1170,1170,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,19.4,35.0,0.57,2010.0,0.08,19.4,Radiator heating,Winter Season,-3.1,0.9,99.49,19.4,52
1200,1200,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,21.5,37.0,1.22,2010.0,0.13,21.5,Radiator heating,Winter Season,-0.78,0.9,17.84,21.5,25
1230,1230,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,26.2,30.0,0.87,2010.0,0.11,26.2,Radiator heating,Winter Season,0.06,0.9,5.08,26.2,25
1260,1260,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,21.1,46.0,1.47,2010.0,0.04,21.1,Radiator heating,Winter Season,-0.33,0.9,7.31,21.1,48
1290,1290,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.8,37.0,0.52,2009.0,0.17,22.8,Radiator heating,Winter Season,-2.21,0.9,85.52,22.8,53
1320,1320,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.4,43.0,1.07,2009.0,0.1,22.4,Radiator heating,Winter Season,-0.6,0.9,12.63,22.4,56
1350,1350,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,19.2,34.0,1.42,2009.0,0.1,19.2,Radiator heating,Winter Season,-0.96,0.9,24.5,19.2,55
1380,1380,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.6,34.0,1.22,2009.0,0.1,22.6,Radiator heating,Winter Season,-0.38,0.9,7.97,22.6,30
1410,1410,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,26.9,25.0,0.32,2009.0,0.1,26.9,Radiator heating,Winter Season,-0.75,0.9,16.91,26.9,46
1440,1440,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,21.1,50.0,1.57,2009.0,0.1,21.1,Radiator heating,Winter Season,-0.18,0.9,5.69,21.1,46
1470,1470,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,-1.0,china,45.7593633,126.6276177,Dwa,16.9,36.0,2.12,2013.0,0.1,16.9,Naturally Ventilated,Transition Season,-0.12,1.0,5.31,16.9,50
1500,1500,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,1.0,china,45.7593633,126.6276177,Dwa,21.2,31.0,1.02,2013.0,0.1,21.2,Radiator heating,Winter Season,-0.62,1.0,13.1,21.2,57
1530,1530,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,23.6,36.0,1.57,2013.0,0.1,23.6,Radiator heating,Winter Season,0.66,1.0,14.08,23.6,50
1560,1560,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,1.0,china,45.7593633,126.6276177,Dwa,21.9,26.0,1.57,2013.0,0.1,21.9,Radiator heating,Winter Season,0.23,1.0,6.12,21.9,48
1590,1590,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,23.5,27.0,0.95,2013.0,0.1,23.5,Radiator heating,Winter Season,-0.14,1.0,5.44,23.5,46
1620,1620,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,3.0,china,45.7593633,126.6276177,Dwa,29.4,21.0,1.06,2013.0,0.1,29.4,Radiant floor heating,Winter Season,1.48,1.0,50.02,29.4,57
1650,1650,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,21.7,20.0,1.23,2013.0,0.1,21.7,Radiator heating,Winter Season,-0.25,1.0,6.29,21.7,54
1680,1680,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,22.6,22.0,1.57,2014.0,0.1,22.6,Radiator heating,Winter Season,0.34,1.0,7.42,22.6,50
1710,1710,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,0.0,china,45.7593633,126.6276177,Dwa,20.1,17.0,1.41,2014.0,0.1,20.1,Radiator heating,Winter Season,-0.38,1.0,8.07,20.1,48
1740,1740,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,1.0,china,45.7593633,126.6276177,Dwa,26.8,23.0,0.59,2014.0,0.1,26.8,Radiant floor heating,Winter Season,0.25,1.0,6.28,26.8,33
1770,1770,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,0.0,china,45.7593633,126.6276177,Dwa,26.2,19.0,1.19,2014.0,0.1,26.2,Radiator heating,Winter Season,0.77,1.0,17.57,26.2,24
1800,1800,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,1.0,china,45.7593633,126.6276177,Dwa,23.3,28.0,0.97,2014.0,0.1,23.3,Radiator heating,Winter Season,-0.16,1.0,5.52,23.3,57
1830,1830,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,-1.0,china,45.7593633,126.6276177,Dwa,22.3,31.0,0.93,2014.0,0.1,22.3,Naturally Ventilated,Transition Season,-0.48,1.0,9.89,22.3,23
1860,1860,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,-2.0,china,45.7593633,126.6276177,Dwa,20.4,40.0,1.37,2014.0,0.1,20.4,Naturally Ventilated,Transition Season,-0.23,1.0,6.07,20.4,50
1890,1890,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,1.0,china,45.7593633,126.6276177,Dwa,21.6,50.0,0.54,2014.0,0.1,21.6,Naturally Ventilated,Transition Season,-1.54,1.0,53.04,21.6,33
1920,1920,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,21.6,66.0,0.68,2013.0,0.1,21.6,Naturally Ventilated,Transition Season,-0.41,1.2,8.58,21.6,32
1950,1950,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,23.7,64.0,0.84,2013.0,0.1,23.7,Radiator heating,Winter Season,-0.44,0.9,9.04,23.7,58
1980,1980,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,24.5,51.0,0.51,2013.0,0.1,24.5,Radiator heating,Winter Season,0.0,1.2,5.0,24.5,35
2010,2010,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.9,41.0,0.88,2013.0,0.1,22.9,Radiator heating,Winter Season,0.12,1.2,5.29,22.9,48
2040,2040,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,27.1,36.0,0.56,2013.0,0.1,27.1,Radiant floor heating,Winter Season,0.02,0.9,5.01,27.1,59
2070,2070,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,3.0,china,45.7593633,126.6276177,Dwa,30.2,26.0,0.46,2013.0,0.1,30.2,Radiant floor heating,Winter Season,1.05,0.9,28.21,30.2,53
2100,2100,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,25.5,36.0,0.76,2014.0,0.1,25.5,Radiator heating,Winter Season,0.56,1.2,11.68,25.5,57
2130,2130,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.0,42.0,0.49,2014.0,0.1,22.0,Radiator heating,Winter Season,-0.89,1.2,21.65,22.0,33
2160,2160,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,27.5,33.0,0.46,2014.0,0.1,27.5,Radiant floor heating,Winter Season,0.38,1.0,7.99,27.5,53
2190,2190,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,26.3,34.0,0.46,2014.0,0.1,26.3,Naturally Ventilated,Transition Season,-0.08,1.0,5.14,26.3,53
2220,2220,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,21.7,68.0,0.61,2014.0,0.1,21.7,Naturally Ventilated,Transition Season,-0.52,1.2,10.77,21.7,57
2250,2250,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,-1.0,china,45.7593633,126.6276177,Dwa,22.4,48.0,0.56,2013.0,0.1,22.4,Naturally Ventilated,Transition Season,-1.18,1.0,34.65,22.4,20
2280,2280,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,0.0,china,45.7593633,126.6276177,Dwa,19.7,57.0,1.07,2013.0,0.1,19.7,Naturally Ventilated,Transition Season,-0.76,1.0,17.39,19.7,19
2310,2310,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,2.0,china,45.7593633,126.6276177,Dwa,20.5,44.0,0.92,2013.0,0.1,20.5,Naturally Ventilated,Transition Season,-2.22,0.8,85.84,20.5,21
2340,2340,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,-1.0,china,45.7593633,126.6276177,Dwa,22.1,53.0,1.13,2013.0,0.1,22.1,Radiator heating,Winter Season,-0.06,1.0,5.07,22.1,20
2370,2370,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,-1.0,china,45.7593633,126.6276177,Dwa,22.7,31.0,0.94,2013.0,0.1,22.7,Radiator heating,Winter Season,-0.84,0.9,20.11,22.7,20
2400,2400,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,0.0,china,45.7593633,126.6276177,Dwa,21.4,29.0,0.85,2013.0,0.1,21.4,Radiator heating,Winter Season,-0.91,1.0,22.63,21.4,20
2430,2430,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,0.0,china,45.7593633,126.6276177,Dwa,24.4,32.0,0.47,2014.0,0.1,24.4,Naturally Ventilated,Transition Season,-2.13,0.8,82.31,24.4,20
2460,2460,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,19.0,42.0,0.62,2014.0,0.1,19.0,Naturally Ventilated,Transition Season,-1.41,1.2,46.14,19.0,44
2490,2490,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,16.2,62.0,0.82,2014.0,0.1,16.2,Naturally Ventilated,Transition Season,-2.36,1.0,90.22,16.2,55
2520,2520,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,18.2,64.0,0.69,2014.0,0.1,18.2,Radiator heating,Winter Season,-1.33,1.2,42.03,18.2,46
2550,2550,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.0,50.0,0.62,2014.0,0.1,23.0,Radiator heating,Winter Season,-0.24,1.2,6.16,23.0,61
2580,2580,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,21.9,34.0,1.14,2014.0,0.1,21.9,Radiator heating,Winter Season,0.19,1.2,5.72,21.9,61
2610,2610,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,16.4,39.0,1.16,2014.0,0.1,16.4,Radiator heating,Winter Season,-0.87,1.2,21.01,16.4,42
2640,2640,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.6,50.0,1.31,2015.0,0.1,23.6,Radiator heating,Winter Season,0.15,0.9,5.44,23.6,42
2670,2670,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,2.0,china,45.7593633,126.6276177,Dwa,21.6,52.0,0.41,2015.0,0.1,21.6,Radiator heating,Winter Season,-1.99,1.0,76.32,21.6,33
2700,2700,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,-1.0,china,45.7593633,126.6276177,Dwa,20.7,61.0,0.67,2015.0,0.1,20.7,Radiator heating,Winter Season,-1.38,1.0,44.42,20.7,61
2730,2730,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,2.0,china,45.7593633,126.6276177,Dwa,23.7,56.0,0.77,2019.0,0.09,23.7,Naturally Ventilated,Transition Season,-0.06,0.9,5.07,23.7,18-30
2760,2760,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Office,-2.0,china,45.7593633,126.6276177,Dwa,21.0,43.0,0.77,2019.0,0.08,21.0,Naturally Ventilated,Transition Season,-0.99,1.2,25.98,21.0,18-30
2790,2790,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Dormitory,0.0,china,21.6740808,109.3729721,Cwa,27.0,52.0,0.6,2006.0,0.1,27.0,Naturally Ventilated,Transition Season,0.61,1.0,12.98,27.0,20
2820,2820,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,26.8,60.0,0.6,2006.0,0.1,26.8,Naturally Ventilated,Transition Season,0.62,1.0,13.05,26.8,20
2850,2850,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,-1.0,china,21.6740808,109.3729721,Cwa,29.0,49.0,0.6,2006.0,0.1,29.0,Naturally Ventilated,Transition Season,1.3,1.0,40.3,29.0,19
2880,2880,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,29.5,47.0,0.6,2006.0,0.1,29.5,Naturally Ventilated,Transition Season,1.45,1.0,48.54,29.5,21
2910,2910,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,1.0,china,21.6740808,109.3729721,Cwa,27.5,64.0,0.74,2006.0,0.1,27.5,Naturally Ventilated,Transition Season,1.09,1.0,30.11,27.5,45
2940,2940,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,27.0,41.0,0.6,2006.0,0.1,27.0,Naturally Ventilated,Transition Season,0.51,1.0,10.5,27.0,21
2970,2970,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Dormitory,0.0,china,21.6740808,109.3729721,Cwa,24.0,42.0,0.71,2006.0,0.1,24.0,Naturally Ventilated,Transition Season,-0.3,1.0,6.94,24.0,21
3000,3000,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Dormitory,-1.0,china,21.6740808,109.3729721,Cwa,20.4,48.0,0.9,2006.0,0.1,20.4,Naturally Ventilated,Transition Season,-0.96,1.0,24.62,20.4,21
3030,3030,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,1.0,china,21.6740808,109.3729721,Cwa,21.0,62.0,0.69,2006.0,0.1,21.0,Naturally Ventilated,Transition Season,-1.22,1.0,36.28,21.0,21
3060,3060,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Dormitory,0.0,china,21.6740808,109.3729721,Cwa,16.5,66.0,1.38,2006.0,0.1,16.5,Naturally Ventilated,Transition Season,-0.96,1.0,24.48,16.5,22
3090,3090,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,16.5,66.0,1.57,2006.0,0.1,16.5,Naturally Ventilated,Transition Season,-0.66,1.0,14.27,16.5,21
3120,3120,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,-1.0,china,21.6740808,109.3729721,Cwa,16.5,49.0,1.23,2007.0,0.1,16.5,Naturally Ventilated,Transition Season,-1.32,1.0,41.28,16.5,20
3150,3150,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,17.0,64.0,1.58,2007.0,0.1,17.0,Naturally Ventilated,Transition Season,-0.55,1.0,11.48,17.0,21
3180,3180,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,23.1,57.0,1.71,2007.0,0.1,23.1,Naturally Ventilated,Transition Season,0.81,1.0,19.07,23.1,21
3210,3210,Shanghai Jiao Tong University ,"Hubei Province, Wuhan City",Hot summer and cold winter zone,Educationnal,0.0,china,21.6740808,109.3729721,Cwa,20.5,44.0,0.89,2007.0,0.1,20.5,Naturally Ventilated,Transition Season,-0.99,1.0,26.01,20.5,21
